band,population,share
0-30 min,1822077.9804565862,0.7838964591692195
30-60 min,238262.2982410672,0.10250547668541088
60-120 min,100957.88730287817,0.04343421699333627
>120 min,26075.447528170662,0.011218208664957182
unroutable,557.525,0.00023985903901259086
