department,population_weighted_mean_t_min,total_population,n_demand_points,pct_population_unroutable
CUSCO,15.401619687767605,573546.4330887328,1824.0,0.0
LAMBAYEQUE,17.96517763830596,1135934.650386993,1834.0,0.04908072835089595
LORETO,11.66110957834953,614904.9488169076,1342.0,0.0
