demand_id,duration_min,routable,department
123820,3.6436365125895285,True,Lambayeque
129475,6.731585585430767,True,Lambayeque
129480,71.05620647612673,True,Lambayeque
129531,1.7847540915996583,True,Lambayeque
129542,33.30184076651929,True,Lambayeque
129554,7.453161366681683,True,Lambayeque
129559,1.2217122345606408,True,Lambayeque
129586,3.6680318446365003,True,Lambayeque
129602,3.2784106983367356,True,Lambayeque
129617,0.7233203945174741,True,Lambayeque
129663,7.600212228046614,True,Lambayeque
129672,50.13020378667711,True,Lambayeque
129734,7.7539099360414605,True,Lambayeque
129759,0.4788883429936183,True,Lambayeque
129764,0.2778220753671377,True,Lambayeque
129771,6.457741927386616,True,Lambayeque
129781,9.24827588610683,True,Lambayeque
129782,6.006298067149495,True,Lambayeque
129786,0.8468219469822234,True,Lambayeque
129788,5.067774701627973,True,Lambayeque
129792,4.857962291087745,True,Lambayeque
129794,3.9788683928415165,True,Lambayeque
129801,1.1784787047308543,True,Lambayeque
129802,2.0183994800348093,True,Lambayeque
129806,7.073772213309582,True,Lambayeque
129807,0.6069585639859904,True,Lambayeque
129808,5.816877546857159,True,Lambayeque
129811,10.218432786998656,True,Lambayeque
129812,0.7454124183549432,True,Lambayeque
129813,4.353752815072621,True,Lambayeque
129814,6.757125881581915,True,Lambayeque
129816,1.626850084590748,True,Lambayeque
129823,7.174597737055467,True,Lambayeque
129825,7.086983710699252,True,Lambayeque
129833,12.254808101730767,True,Lambayeque
129841,1.8075548661990122,True,Lambayeque
129843,20.090132084438387,True,Lambayeque
129844,17.234650039948242,True,Lambayeque
129847,48.49151784159315,True,Lambayeque
129856,0.8660854312847228,True,Lambayeque
129868,4.675620446482046,True,Lambayeque
129870,2.008528289331748,True,Lambayeque
129883,3.32282454311122,True,Lambayeque
129889,13.823836310245865,True,Lambayeque
129898,29.948929204395206,True,Lambayeque
130003,0.8532995849727512,True,Lambayeque
130024,5.299187525484721,True,Lambayeque
130041,1.8406032081800716,True,Lambayeque
130083,3.2920836273393257,True,Lambayeque
130115,3.602011818792334,True,Lambayeque
130183,2.376200170464444,True,Lambayeque
130218,0.8962723462036316,True,Lambayeque
130227,4.093466424583722,True,Lambayeque
130228,3.8131248881413544,True,Lambayeque
130307,4.4816914748447525,True,Lambayeque
130327,6.746453596674784,True,Lambayeque
130328,5.799102370336178,True,Lambayeque
130330,1.426206560788812,True,Lambayeque
130331,6.208695695025347,True,Lambayeque
130353,6.144256096413504,True,Lambayeque
130368,6.475323710764521,True,Lambayeque
130441,32.94229279322182,True,Lambayeque
130442,50.772779393693895,True,Lambayeque
130453,14.504082562152304,True,Lambayeque
130454,56.035347717124864,True,Lambayeque
130496,5.618074757974173,True,Lambayeque
130527,1.2587309630554946,True,Lambayeque
130529,12.464561037715338,True,Lambayeque
130530,4.644960894896316,True,Lambayeque
130531,3.8358000317331533,True,Lambayeque
130532,35.85756992895649,True,Lambayeque
130621,3.628731225681879,True,Lambayeque
130686,6.904915811041281,True,Lambayeque
130714,6.87465455802352,True,Lambayeque
130769,2.6949188465151326,True,Lambayeque
130872,1.71639611237878,True,Lambayeque
136803,1.849218746850411,True,Lambayeque
136814,2.435414133569419,True,Lambayeque
136861,0.8899698873588657,True,Lambayeque
136898,0.07161990521920819,True,Lambayeque
137094,6.218965830479165,True,Lambayeque
137147,1.2198683610337986,True,Lambayeque
137247,0.7440259970129113,True,Lambayeque
31451,3.994760512277596,True,Cusco
31555,1.5538404922318378,True,Cusco
32687,1.0182675222485573,True,Cusco
32941,2.163121150833633,True,Cusco
33140,4.483342663409451,True,Cusco
33311,1.067994862314193,True,Cusco
44460,4.575779495128815,True,Cusco
44693,7.311545302766105,True,Cusco
44846,4.855114333549824,True,Cusco
45472,0.32275208967734653,True,Cusco
45513,13.327566668684987,True,Cusco
46111,2.216665760209657,True,Cusco
46146,4.339114635884892,True,Cusco
46165,10.651902635419573,True,Cusco
46177,8.098277544034236,True,Cusco
46348,1.7628637372284806,True,Cusco
46361,7.2356415538788985,True,Cusco
46441,2.998712744643055,True,Cusco
46508,1.2841274263900753,True,Cusco
46590,5.036051952554561,True,Cusco
46617,1.177658827199292,True,Cusco
47161,1.6681571100035497,True,Cusco
47548,7.024702719543962,True,Cusco
58302,2.662509178424243,True,Cusco
58305,5.272607994699657,True,Cusco
58716,1.420684648126204,True,Cusco
58735,1.2519679279221616,True,Cusco
59588,1.6340741538218992,True,Cusco
59622,6.69371538165847,True,Cusco
60120,12.58507532431661,True,Cusco
60131,5.5171039402461615,True,Cusco
60204,4.12156842901587,True,Cusco
60206,4.5060109137627595,True,Cusco
60220,4.584478353480971,True,Cusco
60232,1.205339533676269,True,Cusco
60234,3.1867994346406,True,Cusco
60242,5.719139316479274,True,Cusco
60259,0.0,True,Cusco
60261,0.2134377220056833,True,Cusco
60262,2.1160723548721223,True,Cusco
60268,6.477235659217852,True,Cusco
60289,4.552881292811155,True,Cusco
60294,16.601044303148953,True,Cusco
60310,0.27272950658160666,True,Cusco
60330,0.7174991827298596,True,Cusco
60338,7.784802922287833,True,Cusco
60816,2.2374969508802995,True,Cusco
60980,0.3484301746066463,True,Cusco
61107,6.022227881337149,True,Cusco
61273,4.8614587378953775,True,Cusco
61280,1.7970950637117145,True,Cusco
61335,2.5967593084684304,True,Cusco
61449,7.020562145575681,True,Cusco
61736,3.7496690297814212,True,Cusco
61740,5.403597962835345,True,Cusco
61773,5.839480786657932,True,Cusco
62908,0.9896300175759243,True,Cusco
63094,4.975498339100443,True,Cusco
70967,46.705019851133194,True,Cusco
71691,0.17355015127488507,True,Cusco
71723,5.21714566753087,True,Cusco
71745,5.259474176890661,True,Cusco
71799,3.3902206659041574,True,Cusco
71809,2.8012610494637795,True,Cusco
71894,1.1845241882858948,True,Cusco
72476,4.241916503986692,True,Cusco
78909,4.631001444108122,True,Cusco
78995,8.30253950315003,True,Cusco
79367,1.755181038049099,True,Cusco
123720,0.0,True,Loreto
129387,0.0,True,Loreto
129453,0.0,True,Loreto
136625,0.0,True,Loreto
141702,0.0,True,Loreto
142107,0.0,True,Loreto
142142,0.0,True,Loreto
142264,0.0,True,Loreto
142348,0.0,True,Loreto
145583,0.0,True,Loreto
145817,0.0,True,Loreto
145841,0.0,True,Loreto
148931,0.0,True,Loreto
148998,0.0,True,Loreto
149047,0.0,True,Loreto
149158,0.0,True,Loreto
149217,0.0,True,Loreto
149230,0.0,True,Loreto
149234,0.0,True,Loreto
149263,0.0,True,Loreto
150628,0.0,True,Loreto
150744,0.0,True,Loreto
150788,0.0,True,Loreto
150858,1.8943248372427581,True,Loreto
151135,0.0,True,Loreto
151645,0.0,True,Loreto
151768,0.0,True,Loreto
151915,76.26534375808532,True,Loreto
151987,5.875925836215464,True,Loreto
152015,0.40235211663313736,True,Loreto
152019,4.982661658835446,True,Loreto
152031,2.9018866928563165,True,Loreto
152245,0.0,True,Loreto
152355,0.0,True,Loreto
152616,0.0,True,Loreto
152661,0.0,True,Loreto
152733,0.0,True,Loreto
152901,0.0,True,Loreto
152941,0.0,True,Loreto
153108,0.0,True,Loreto
