demand_id,t_min_car,routable_car,t_min_foot,routable_foot,t_min_bike,routable_bike,department
123803,26.57490879947024,True,623.6545584393765,True,233.87045941476669,True,Lambayeque
123806,48.82129732301257,True,577.5586332400534,True,216.8178170663881,True,Lambayeque
123808,43.30940904642481,True,530.6860318701391,True,199.24059155266988,True,Lambayeque
123809,42.73082637071322,True,571.3414375378139,True,214.48636867804797,True,Lambayeque
123810,44.93277561792887,True,573.2155566945186,True,215.18916336181226,True,Lambayeque
123811,47.566550905427576,True,497.70774412485093,True,186.8737336481869,True,Lambayeque
123812,42.3346809889919,True,539.4143322213978,True,202.32861434045753,True,Lambayeque
123814,28.11720336767894,True,639.0999008909695,True,239.66246283411354,True,Lambayeque
123815,28.264374664778455,True,639.9685925208875,True,239.9882221953335,True,Lambayeque
123816,34.155882253314736,True,658.5584251439362,True,246.95940942897644,True,Lambayeque
123817,27.569787330623875,True,634.3988479111225,True,237.89956796667107,True,Lambayeque
123818,26.681211743562315,True,625.4823823143821,True,234.55589336789387,True,Lambayeque
123819,28.241278789810664,True,643.4482933431334,True,241.29311000367508,True,Lambayeque
123820,25.850345574222104,True,620.3248577316258,True,232.6218216493603,True,Lambayeque
123821,24.619872091697864,True,603.3152852915488,True,226.24323198433115,True,Lambayeque
123822,25.462219859891736,True,598.3744403795346,True,224.39041514232593,True,Lambayeque
123823,25.578859677601088,True,614.5366353508235,True,230.45123825655938,True,Lambayeque
123824,23.679961791675474,True,601.5542073475874,True,225.58282775534553,True,Lambayeque
123825,26.64114746293118,True,626.5661727505841,True,234.9623147814696,True,Lambayeque
123826,44.30745470791052,True,575.6663803047982,True,216.10822221566698,True,Lambayeque
123827,42.503311762452086,True,591.4785762853264,True,222.0377957083651,True,Lambayeque
123828,40.44740094289593,True,611.5566533275919,True,229.5670745992144,True,Lambayeque
123829,46.51350022377421,True,603.7904565468677,True,226.65475080644285,True,Lambayeque
123831,46.0268356810996,True,729.2264016058202,True,273.6932302035501,True,Lambayeque
123833,41.14774505000943,True,560.7875620664553,True,210.5286653762885,True,Lambayeque
123834,27.025512336067678,True,617.6383314468902,True,231.61437429258453,True,Lambayeque
123840,41.38283544715054,True,683.7982002092832,True,256.65765467984903,True,Lambayeque
123841,28.153325465853225,True,621.6184098590534,True,233.10690369714487,True,Lambayeque
123842,36.06547037732066,True,668.5215155523687,True,250.69556833213815,True,Lambayeque
123844,33.89918046061727,True,666.7159507182781,True,250.01848151935482,True,Lambayeque
123845,41.657368169934216,True,689.8250402593333,True,258.91771969861776,True,Lambayeque
123846,36.948338988334605,True,584.9908154632668,True,219.60488540009254,True,Lambayeque
123847,36.78884560638677,True,586.4085344139143,True,220.13653000658533,True,Lambayeque
123850,32.03579731560058,True,647.4502113694874,True,242.79382926355777,True,Lambayeque
123851,22.461604356505234,True,620.5807465019245,True,232.71777993822198,True,Lambayeque
123852,32.71933014187528,True,697.6772221044065,True,261.62895828915293,True,Lambayeque
123853,32.9282763859767,True,698.1897760594507,True,261.82116602229445,True,Lambayeque
124313,33.5507440489223,True,713.1612386511482,True,267.4354644941812,True,Lambayeque
124384,28.685954584847412,True,666.0704259824455,True,249.77640974341767,True,Lambayeque
124440,40.03740152186468,True,685.7246053140195,True,257.14672699275746,True,Lambayeque
129463,8.95595022405889,True,94.34549794286659,True,35.37956172857498,True,Lambayeque
129464,6.9010452375754445,True,71.51322031527279,True,26.81745761822729,True,Lambayeque
129465,12.982154287578448,True,182.96079725443684,True,67.9933277387357,True,Lambayeque
129466,11.680511418847034,True,142.51845123878675,True,53.67774881591279,True,Lambayeque
129467,28.242237810753004,True,289.2975686687312,True,108.4865882507743,True,Lambayeque
129468,22.51386034329819,True,278.93523986857747,True,104.60071495071647,True,Lambayeque
129469,14.792998955687109,True,227.163030419173,True,85.18613640718989,True,Lambayeque
129470,13.717658502524477,True,221.35701790909908,True,83.00888171591218,True,Lambayeque
129471,30.263709287619594,True,311.0789216923784,True,116.65459563464192,True,Lambayeque
129472,28.67959414106714,True,293.18518049374575,True,109.94444268515478,True,Lambayeque
129473,11.327581626767577,True,189.48932623234043,True,71.05849733712768,True,Lambayeque
129474,9.86052335070666,True,168.48655871625996,True,63.182459518597476,True,Lambayeque
129475,1.3309070949687234,True,9.843481007660147,True,3.6913053778725566,True,Lambayeque
129476,8.123289009943756,True,66.95383248056885,True,25.107687180213315,True,Lambayeque
129477,14.146331356495534,True,162.9546999580272,True,61.10801248426018,True,Lambayeque
129478,3.2871036692299223,True,23.954905837152996,True,8.983089688932372,True,Lambayeque
129479,1.0448225815020193,True,8.387997945260695,True,3.145499229472761,True,Lambayeque
