demand_id,facility_id,distance_m,straight_line_m,detour_factor
123803,34890,38714.785166450136,32260.732986433464,1.2000590681783572
123806,34890,45073.15393399859,35691.36772445503,1.2628586912659934
123808,34890,41522.60917591175,33162.71356131976,1.2520872002568204
123809,34890,44483.92104121072,35069.04281434447,1.2684669289865884
123810,34890,45944.49154974208,34726.86481978102,1.323024459252979
123811,34890,39063.040183677724,32655.278374286423,1.1962243817353868
123812,34890,42387.18809529619,33317.889599343274,1.2722050707596941
123814,34890,35885.03699179798,30842.157041661896,1.1635060720080022
123815,34890,38372.6232504545,33509.294507955485,1.1451337252517926
123816,34890,40507.02902677383,33360.37416080248,1.2142258606430283
123817,34890,35382.20132130002,30710.18659794678,1.1521324108029223
123818,34890,37286.155950169545,33555.06513809544,1.1111930731387005
123819,34890,35746.80353510114,29840.988275378157,1.1979095063884289
123820,34890,36899.34106002912,33340.84408854278,1.106730860263648
123821,34890,35258.70743235722,31713.808382209507,1.1117777785444494
123822,34890,35710.581381757685,31478.945225360116,1.1344275078501826
123823,34890,36128.56498367738,32117.261523757054,1.1248955629966515
123824,34890,33739.81816344312,30394.710958552252,1.1100555688603988
123825,34890,37367.44034771102,33622.04132107884,1.111397133531094
123826,34890,43694.43596787212,34677.83882317123,1.2600103538942609
123827,34890,45455.97010292629,34866.7549534566,1.3037052104104658
123828,34890,41905.8321044558,34459.18719976434,1.2161004222624958
123829,34890,47399.82594305641,37417.78256062197,1.2667727133819902
123831,34890,46442.51412542383,40657.680213231906,1.142281455357339
123833,34890,43794.03321253101,34398.88478307581,1.273123634347518
123834,34890,36697.85130403963,32211.112511957035,1.1392916432307973
123840,34890,44120.51072827333,34496.87377942376,1.2789712775245665
123841,34890,38461.67461365449,31787.002484688026,1.2099811749214695
123842,34890,40854.90930925306,33371.93211620261,1.22422966602576
123844,34890,40378.677949110075,34815.230858798146,1.1597992301954245
123845,34890,43982.51602833629,33718.37323975822,1.3044080067443868
123846,34890,41728.723827449,32946.241285967146,1.2665700911145392
123847,34890,41622.39475594478,32889.557144367776,1.2655200729290594
123850,34890,39446.98506044661,32078.41506983628,1.229704926960032
123851,34890,33184.80455724367,29248.237067939222,1.1345916159035636
123852,34890,42659.70456304104,37490.6833137359,1.137874820953485
123853,34890,42645.32968564045,37914.43100124557,1.124778311567948
124313,34890,43272.150946901726,38503.51222673407,1.1238494476058902
124384,34890,40330.26352553005,36420.37518739008,1.1073544222985847
124440,34890,44660.831683158,35864.32982438073,1.2452716083599413
129463,21545,8214.2760959894,6215.503032072315,1.3215786483577134
129464,21545,5202.180516819998,4747.638499059525,1.0957406546118695
129465,34890,13992.588553321239,12113.817821408955,1.1550931968443425
129466,618,10491.516964402112,10007.940624064693,1.048319265521483
129467,23939,21379.723520799234,18965.222832046013,1.12731201263153
129468,23939,16867.06846245203,15411.352293583484,1.094457393558814
129469,23939,16591.21119799644,14126.792921470442,1.1744499470067604
129470,23939,16506.33649003888,13531.72310997909,1.2198251734744805
129471,23939,22925.6235757666,20268.842865699873,1.131077078631
129472,23939,21379.723520799234,19201.595831215935,1.1134347222350305
129473,23939,14339.283623350284,12520.253819065845,1.145286975054325
129474,23939,12670.153872343257,12263.0827090871,1.033194847732252
129475,23939,651.8925450796602,449.5920198075085,1.449964670989414
129476,23939,5075.285110871174,4994.789421333738,1.016115932574379
129477,21545,12184.257589514282,11235.99050375874,1.0843955043783922
129478,23939,1796.6204757807363,1588.5450524186813,1.1309849053668604
129479,23939,629.1007345931257,420.09157541644305,1.4975323748625256
129480,598,6892.216746403036,4354.540745967864,1.5827654736690575
129482,21545,23598.580897729906,22193.30541568185,1.0633197919700184
129483,34890,8378.963007370352,5637.169897618281,1.4863775900936542
129484,8311,5065.558916785207,2573.222491302732,1.96856623704571
129485,23939,19363.52984124381,16353.57860975727,1.1840545915553107
129488,23939,22473.49545028845,20273.633662876473,1.1085085103140735
129489,23939,16867.06846245203,14313.007530843068,1.178443344356888
129492,23939,42018.32863314258,32157.977807523792,1.3066222286934914
129493,23939,16867.06846245203,14649.992250370751,1.1513363402649697
129494,23939,16506.33649003888,13651.910074633864,1.2090862304102579
129495,23939,16867.06846245203,13645.902106771915,1.2360537493583204
129497,23939,10940.130321062581,9794.739003753391,1.116939442375164
129498,23939,23110.765415006314,20061.74581397541,1.1519817681523459
129499,23939,16867.06846245203,14493.18717759031,1.163792908749034
129500,23939,12984.021300287146,12184.292099555449,1.0656360824410043
129501,23939,13643.077276240609,12434.767631518731,1.0971718716849315
129502,23939,23315.368553439304,21419.15088864417,1.0885290773034544
129503,23939,13052.699221427927,12320.23379335897,1.0594522344587147
129504,23939,16629.157532128836,14505.085464935484,1.146436370356319
129505,23939,12024.398487874834,10460.386845299272,1.1495175719317114
129508,23939,15513.605603327422,13565.923829316056,1.1435716283326323
129510,23939,18538.53877820452,15734.558021813975,1.178205244310211
129511,23939,20322.503747294748,17678.375194068267,1.1495685278878842
129512,23939,20095.681037640174,16397.991836199177,1.2254964655658755
129513,23939,17952.33973875172,15125.685184423131,1.1868777856912929
129515,23939,14083.511321230368,12824.116004458643,1.0982052342893547
129516,23939,15918.44251836265,15400.598080234593,1.0336249563445634
129517,23939,14763.757934923948,13019.866920244258,1.133940771081781
129518,23939,17377.414444847764,15501.725417500798,1.1209987260662861
129519,23939,14339.283623350284,11530.03794246025,1.2436458314282532
129520,23939,37782.97753525081,33306.223601949656,1.134411934141915
129521,23939,43613.336793664406,36637.21252269561,1.1904108907479602
129522,23939,27173.054513422325,24152.522356782018,1.125060733285778
129523,23939,27726.403944193193,23336.73373019936,1.1881013112093444
129524,23939,25778.947073666208,23108.84081280666,1.1155447944139114
129525,21545,16801.570291741307,13391.979189320124,1.2545994922946322
129526,21545,20592.48051959184,15647.654997887908,1.3160106432798637
129528,618,671.1137238081551,626.7289328875156,1.0708197573010494
129529,8311,9839.71436019855,6881.14242812995,1.4299535960735281
129530,21545,18570.134974220437,15780.680929250047,1.1767638581298503
129531,618,900.8646044748581,618.3155185543492,1.4569658652286812
129532,8311,2840.8613607385805,799.50505286437,3.5532750550614858
129533,8311,2698.623011863753,649.9318181329653,4.152163252471599
129534,21545,12799.784891538951,11714.60411504254,1.092634865492633
129535,21545,28488.5308103673,24070.675610026472,1.183536817657939
129536,8311,3859.4690099951354,3151.686630785947,1.2245725740292543
129537,21545,11381.493591746761,10041.981828863822,1.13339117573712
129538,618,2397.4480547831517,1860.3614313094556,1.2887001495702135
129539,34890,18094.74432410285,16063.279664440228,1.1264663693902894
129540,21545,22504.60609384549,20186.414842776507,1.1148391762046108
129541,23939,2734.8796262440273,2394.047085234614,1.142366682389629
129542,23218,6345.219256843103,5536.2295132116315,1.1461264822386612
129543,618,601.088958403965,502.9246153401625,1.1951869923833558
129544,598,11339.708569937873,9392.509216559798,1.2073140742779358
129545,8311,1606.2497615060422,1345.0299267034889,1.1942111692955208
