cum_population_share,cum_access_time_share
0.8135617287928274,0.3284025585012407
0.813752054542891,0.3287141331801609
0.8138576331886029,0.3288872383043268
0.8138696580268747,0.3289069553423793
0.8139476632810337,0.3290348769233634
0.8139952433314902,0.32911294146407477
0.8140792283011444,0.3292508456619803
0.8141848069468564,0.3294242565559645
0.8142092647847378,0.32946443944206594
0.8143995905348014,0.3297771774951458
0.81448184942566,0.32991235281346676
0.8146287446780114,0.33015397878555125
0.8146763247284678,0.33023228620637973
0.8147819033741798,0.33040622594509356
0.8148271609013067,0.3304808093841663
0.8150004499871336,0.33076664106200515
0.8151774619539179,0.3310586429822068
0.8159058041562663,0.33226060119730855
0.8159302619941478,0.33230096693550754
0.8162319006561829,0.332799053801264
0.8166167833640264,0.3334345990604167
0.8167636786163778,0.33367754987530834
0.8170082569951918,0.3340823646317563
0.8171985827452554,0.3343977995786558
0.8172648843371879,0.3345077101843589
0.8174552100872515,0.33482343321248953
0.8175332153414104,0.3349528342372332
0.8177102273081949,0.3352468973335684
0.818490279849785,0.33654374733005415
0.8186840475987626,0.33686634731443005
0.8189967268265737,0.33738742401786714
0.8190211846644551,0.33742821454563954
0.8190405614393528,0.3374605532778717
0.8192175734061372,0.337756273197445
0.8193644686584886,0.33800168287082305
0.8194450048858242,0.3381364483334116
0.8194521971298363,0.338148538229318
0.8194938144600988,0.3382185132318337
0.8196841402101624,0.3385388144095115
0.8197132325608202,0.33858778103218634
0.8198902445276046,0.33888615889128443
0.819913196827714,0.33892490991763674
0.819991202081873,0.33905665794746437
0.8200878801997425,0.33921997838629214
0.8201509422777253,0.3393266367942835
0.8203721444330592,0.3397012862906842
0.820593346588393,0.3400759357870849
0.8206661808086279,0.34019950059535947
0.8208565065586915,0.34052259629772885
0.8208809643965729,0.34056413529019547
0.8209329350273463,0.3406524159260069
0.8211232607774099,0.34097593949621485
0.8212145384408425,0.34113113437177567
0.8213234227972545,0.34131629689498255
0.8213962570174893,0.34144016969181173
0.8214207148553707,0.34148177314767225
0.8214330722293424,0.34150280024188057
0.8215059064495772,0.34162685932477355
0.8216528017019286,0.3418770694594971
0.8216648265402003,0.34189757837561985
0.8216855121317967,0.3419329487437928
0.8217061977233932,0.34196831911196574
0.8217185550973647,0.34198948906756516
0.8218008139882234,0.3421304636298905
0.8218788192423824,0.34226422866674017
0.8218940473980052,0.34229034374790135
0.8219720526521642,0.3424241628674117
0.8221623784022278,0.34275078111541807
0.8223527041522914,0.34307760370194673
0.822543029902355,0.34340443507655505
0.8227200418691394,0.3437084229530431
0.822910367619203,0.34403567735730933
0.8231006933692666,0.3443637196881778
0.8231735275895015,0.34448937965847265
0.8232436542815115,0.3446103852684352
0.8234169433673383,0.3449094961999958
0.8234645234177947,0.34499168124748797
0.8235121034682511,0.3450738662949802
0.8237024292183147,0.34540287130168934
0.823742849242101,0.3454727515537982
0.8238059113200837,0.34558180273056754
